
Host: AS-Laptop

Timers On : Sun Nov 12 11:05:16 2023
Timers Off: Sun Nov 12 11:07:19 2023

Wall Time:      123.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: JK                              :      0.000u      0.000s      0.221w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.216w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.064w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.128w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.018w    703 calls
HF: Form F                          :      0.000u      0.000s      0.014w    703 calls
HF: Form D                          :      0.000u      0.000s      0.009w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.448w    623 calls
HF: Form C                          :      0.000u      0.000s      0.621w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.636w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.431w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.588w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.333w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.405w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.082w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.892w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.034w     80 calls
HF: Guess                           :      0.000u      0.000s      6.280w     80 calls
| SAD Guess                         :      0.000u      0.000s      6.148w     80 calls
HF: Form G                          :      0.000u      0.000s      0.301w    703 calls
| JK: D                             :      0.000u      0.000s      0.011w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.028w    703 calls
| JK: JK                            :      0.000u      0.000s      0.221w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.216w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.064w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.128w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.018w    703 calls
HF: Form F                          :      0.000u      0.000s      0.014w    703 calls
HF: Form D                          :      0.000u      0.000s      0.009w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.448w    623 calls
HF: Form C                          :      0.000u      0.000s      0.621w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:59:14 2023
Timers Off: Sun Nov 12 12:00:20 2023

Wall Time:       65.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:59:16 2023
Timers Off: Sun Nov 12 12:00:20 2023

Wall Time:       63.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.592w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.733w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.406w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.427w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.087w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.942w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.035w     80 calls
HF: Guess                           :      0.000u      0.000s      6.551w     80 calls
SAD Guess                           :      0.000u      0.000s      6.408w     80 calls
HF: Form G                          :      0.000u      0.000s      0.285w    703 calls
JK: D                               :      0.000u      0.000s      0.011w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.027w    703 calls
JK: JK                              :      0.000u      0.000s      0.207w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.203w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.059w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.120w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.018w    703 calls
HF: Form F                          :      0.000u      0.000s      0.013w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.141w    623 calls
HF: Form C                          :      0.000u      0.000s      0.603w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.592w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.399w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.406w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.335w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.427w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.087w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.942w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.035w     80 calls
HF: Guess                           :      0.000u      0.000s      6.551w     80 calls
| SAD Guess                         :      0.000u      0.000s      6.408w     80 calls
HF: Form G                          :      0.000u      0.000s      0.285w    703 calls
| JK: D                             :      0.000u      0.000s      0.011w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.027w    703 calls
| JK: JK                            :      0.000u      0.000s      0.207w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.203w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.059w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.120w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.018w    703 calls
HF: Form F                          :      0.000u      0.000s      0.013w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.141w    623 calls
HF: Form C                          :      0.000u      0.000s      0.603w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:59:16 2023
Timers Off: Sun Nov 12 12:00:20 2023

Wall Time:       63.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.643w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.755w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.272w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.377w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.079w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.060w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.032w     80 calls

: Guess                           :      0.000u      0.000s      6.730w     80 calls
Host: AS-Laptop
                   :      0.000u      0.000s      6.589w     80 calls

Timers On : Sun Nov 12 11:59:14 2023
Timers Off: Sun Nov 12 12:00:20 2023
     0.000u      0.000s      0.292w    703 calls
JK: D                               :      0.000u      0.000s      0.011w    703 calls
                                                       Time (seconds)
JK: USO2AO                          :      0.000u      0.000s      0.028w    703 calls

--------------------------------------------------------------------------------------

**************************************************************************************
DFH: compute_JK()                   :      0.000u      0.000s      0.206w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.060w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.120w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.018w    703 calls
HF: Form F                          :      0.000u      0.000s      0.013w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.360w    623 calls
HF: Form C                          :      0.000u      0.000s      0.621w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.643w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.438w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.272w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.316w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.377w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.079w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.060w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.032w     80 calls
HF: Guess                           :      0.000u      0.000s      6.730w     80 calls
| SAD Guess                         :      0.000u      0.000s      6.589w     80 calls
HF: Form G                          :      0.000u      0.000s      0.292w    703 calls
| JK: D                             :      0.000u      0.000s      0.011w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.028w    703 calls
| JK: JK                            :      0.000u      0.000s      0.211w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.206w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.060w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.120w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.018w    703 calls
HF: Form F                          :      0.000u      0.000s      0.013w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.360w    623 calls
HF: Form C                          :      0.000u      0.000s      0.621w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 12:01:17 2023
Timers Off: Sun Nov 12 12:02:17 2023

Wall Time:       59.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.600w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.755w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.160w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.368w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.092w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.706w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.030w     80 calls
HF: Guess                           :      0.000u      0.000s      6.242w     80 calls
SAD Guess                           :      0.000u      0.000s      6.114w     80 calls
HF: Form G                          :      0.000u      0.000s      0.274w    703 calls
JK: D                               :      0.000u      0.000s      0.010w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.025w    703 calls
JK: JK                              :      0.000u      0.000s      0.200w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.196w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.056w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.116w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.017w    703 calls
HF: Form F                          :      0.000u      0.000s      0.012w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.089w    623 calls
HF: Form C                          :      0.000u      0.000s      0.570w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.600w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.418w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.160w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.337w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.368w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.092w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.706w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.030w     80 calls
HF: Guess                           :      0.000u      0.000s      6.242w     80 calls
| SAD Guess                         :      0.000u      0.000s      6.114w     80 calls
HF: Form G                          :      0.000u      0.000s      0.274w    703 calls
| JK: D                             :      0.000u      0.000s      0.010w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.025w    703 calls
| JK: JK                            :      0.000u      0.000s      0.200w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.196w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.056w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.116w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.017w    703 calls
HF: Form F                          :      0.000u      0.000s      0.012w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.089w    623 calls
HF: Form C                          :      0.000u      0.000s      0.570w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 12:01:17 2023
Timers Off: Sun Nov 12 12:02:17 2023

Wall Time:       60.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.644w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.752w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.217w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.390w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.091w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.731w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.037w     80 calls
HF: Guess                           :      0.000u      0.000s      6.466w     80 calls
SAD Guess                           :      0.000u      0.000s      6.337w     80 calls
HF: Form G                          :      0.000u      0.000s      0.267w    703 calls
JK: D                               :      0.000u      0.000s      0.010w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.025w    703 calls
JK: JK                              :      0.000u      0.000s      0.195w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.190w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.056w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.111w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.016w    703 calls
HF: Form F                          :      0.000u      0.000s      0.011w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      5.933w    623 calls
HF: Form C                          :      0.000u      0.000s      0.540w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.644w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.436w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.217w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.316w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.390w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.091w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.731w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.037w     80 calls
HF: Guess                           :      0.000u      0.000s      6.466w     80 calls
| SAD Guess                         :      0.000u      0.000s      6.337w     80 calls
HF: Form G                          :      0.000u      0.000s      0.267w    703 calls
| JK: D                             :      0.000u      0.000s      0.010w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.025w    703 calls
| JK: JK                            :      0.000u      0.000s      0.195w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.190w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.056w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.111w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.016w    703 calls
HF: Form F                          :      0.000u      0.000s      0.011w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      5.933w    623 calls
HF: Form C                          :      0.000u      0.000s      0.540w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 12:01:17 2023
Timers Off: Sun Nov 12 12:02:17 2023

Wall Time:       60.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.620w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.769w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.343w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.366w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.078w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.662w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.029w     80 calls
HF: Guess                           :      0.000u      0.000s      5.919w     80 calls
SAD Guess                           :      0.000u      0.000s      5.793w     80 calls
HF: Form G                          :      0.000u      0.000s      0.285w    703 calls
JK: D                               :      0.000u      0.000s      0.015w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.029w    703 calls
JK: JK                              :      0.000u      0.000s      0.203w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.198w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.057w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.117w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.017w    703 calls
HF: Form F                          :      0.000u      0.000s      0.012w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      5.820w    623 calls
HF: Form C                          :      0.000u      0.000s      0.572w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.620w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.434w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.343w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.334w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.366w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.078w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.662w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.029w     80 calls
HF: Guess                           :      0.000u      0.000s      5.919w     80 calls
| SAD Guess                         :      0.000u      0.000s      5.793w     80 calls
HF: Form G                          :      0.000u      0.000s      0.285w    703 calls
| JK: D                             :      0.000u      0.000s      0.015w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.029w    703 calls
| JK: JK                            :      0.000u      0.000s      0.203w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.198w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.057w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.117w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.017w    703 calls
HF: Form F                          :      0.000u      0.000s      0.012w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      5.820w    623 calls
HF: Form C                          :      0.000u      0.000s      0.572w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 12:01:17 2023
Timers Off: Sun Nov 12 12:02:17 2023

Wall Time:       60.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.593w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.741w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.266w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.411w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.091w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.706w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.033w     80 calls
HF: Guess                           :      0.000u      0.000s      5.996w     80 calls
SAD Guess                           :      0.000u      0.000s      5.872w     80 calls
HF: Form G                          :      0.000u      0.000s      0.269w    703 calls
JK: D                               :      0.000u      0.000s      0.010w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.025w    703 calls
JK: JK                              :      0.000u      0.000s      0.197w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.192w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.055w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.110w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.016w    703 calls
HF: Form F                          :      0.000u      0.000s      0.012w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.124w    623 calls
HF: Form C                          :      0.000u      0.000s      0.574w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.593w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.418w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.266w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.323w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.411w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.091w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.706w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.033w     80 calls
HF: Guess                           :      0.000u      0.000s      5.996w     80 calls
| SAD Guess                         :      0.000u      0.000s      5.872w     80 calls
HF: Form G                          :      0.000u      0.000s      0.269w    703 calls
| JK: D                             :      0.000u      0.000s      0.010w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.025w    703 calls
| JK: JK                            :      0.000u      0.000s      0.197w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.192w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.055w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.110w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.016w    703 calls
HF: Form F                          :      0.000u      0.000s      0.012w    703 calls
HF: Form D                          :      0.000u      0.000s      0.008w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.124w    623 calls
HF: Form C                          :      0.000u      0.000s      0.574w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 12:01:14 2023
Timers Off: Sun Nov 12 12:02:18 2023

Wall Time:       64.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 12:01:13 2023
Timers Off: Sun Nov 12 12:02:18 2023

Wall Time:       64.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 12:01:14 2023
Timers Off: Sun Nov 12 12:02:19 2023

Wall Time:       65.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 12:01:14 2023
Timers Off: Sun Nov 12 12:02:19 2023

Wall Time:       65.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:31:25 2023
Timers Off: Mon Nov 13 13:33:53 2023

Wall Time:      147.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.473w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.682w    240 calls
DFH: initialize()                   :      0.000u      0.000s      7.413w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.743w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.214w     80 calls
HF: Form core H                     :      0.000u      0.000s      3.126w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.054w     80 calls
HF: Guess                           :      0.000u      0.000s     15.757w     80 calls
SAD Guess                           :      0.000u      0.000s     15.450w     80 calls
HF: Form G                          :      0.000u      0.000s      0.812w    703 calls
JK: D                               :      0.000u      0.000s      0.016w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.056w    703 calls
JK: JK                              :      0.000u      0.000s      0.625w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.587w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.280w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.269w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.077w    703 calls
HF: Form F                          :      0.000u      0.000s      0.019w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     12.674w    623 calls
HF: Form C                          :      0.000u      0.000s      1.253w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.473w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.942w     80 calls
DFH: initialize()                   :      0.000u      0.000s      7.413w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.740w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.743w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.214w     80 calls
HF: Form core H                     :      0.000u      0.000s      3.126w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.054w     80 calls
HF: Guess                           :      0.000u      0.000s     15.757w     80 calls
| SAD Guess                         :      0.000u      0.000s     15.450w     80 calls
HF: Form G                          :      0.000u      0.000s      0.812w    703 calls
| JK: D                             :      0.000u      0.000s      0.016w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.056w    703 calls
| JK: JK                            :      0.000u      0.000s      0.625w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.587w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.280w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.269w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.077w    703 calls
HF: Form F                          :      0.000u      0.000s      0.019w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     12.674w    623 calls
HF: Form C                          :      0.000u      0.000s      1.253w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:31:25 2023
Timers Off: Mon Nov 13 13:33:53 2023

Wall Time:      148.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.280w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.517w    240 calls
DFH: initialize()                   :      0.000u      0.000s      7.498w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.765w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.172w     80 calls
HF: Form core H                     :      0.000u      0.000s      2.525w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.126w     80 calls
HF: Guess                           :      0.000u      0.000s     16.009w     80 calls
SAD Guess                           :      0.000u      0.000s     15.652w     80 calls
HF: Form G                          :      0.000u      0.000s      0.663w    703 calls
JK: D                               :      0.000u      0.000s      0.018w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.083w    703 calls
JK: JK                              :      0.000u      0.000s      0.482w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.476w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.103w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.334w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.037w    703 calls
HF: Form F                          :      0.000u      0.000s      0.023w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     13.991w    623 calls
HF: Form C                          :      0.000u      0.000s      1.228w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.280w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.878w     80 calls
DFH: initialize()                   :      0.000u      0.000s      7.498w     80 calls
